abate,"줄이다, 완화하다, 감소하다","subside, withdraw, drop"
vent (n),"구멍, 배출구, 표출","duct, escape, exit, opening"
verbose,"말이 많은, 장황한","prolix, wordy"
verify,"입증하다, 확인하다","ascertain, authenticate, check, validate"
vertical,"수직의, 곧추선","perpendicular, upright"
vestige,"자취, 흔적","hint, suggestion, trace"
viable,"시행 가능한, 실용적인","feasible, practical"
vigor,"활기, 체력","force, intensity, strength, vitality"
vilify,"비방하다, 헐뜯다","defame, insult, slander"
vindicate,"입증하다, 옹호하다, 지키다","exonerate, justify"
vindictive,"원한을 품은, 보복의","spiteful, unforgiving, vengeful"
virtuoso (adj),"대가의, 거장의","brilliant, consummate, masterly, skilled"
virtuoso (n),"예술의 거장, 대가",expert
virtuous,"덕 있는, 고결한, 정숙한","principled, upright"
virulent,"유독한, 악의가 있는","infectious, infective, noxious, poisonous, bitter, hateful, hostile, malignant, venomous"
vital,"생기가 넘치는, 지극히 중요한, 치명적인","energetic, strong, vigorous, critical, essential, necessary"
vitality,"생명력, 활력","energy, exuberance, force, power, strength, vigor"
vivid,"생생한, 선명한","bright, colorful, intense"
vociferous,"소란한, 시끄러운","boisterous, loud, noisy"
void (adj),"빈, 공허한, 무효의","devoid, empty, unoccupied, vacant, ineffective, inoperative, useless"
void (n),"공허, 진공, 공간","cavity, vacuum"
volatile,"휘발성의, 변덕스러운","fleeting, transient, unstable"
volition,"의지, 결단력","choice, will"
voluble,"수다스러운, 유창한","fluent, glib, loquacious, talkative"
voluminous,"다작의, 방대한, 부피가 큰","ample, big, extensive"
voluntary,"자발적인, 고의의","deliberate, intended"
vulgarian,"속물, 속인","barbarian, churl"
vulnerable,"상처입기 쉬운, 약한","defenseless, susceptible, weak"
wake,"항적, 배 떠나간 자국, 지나간 자국","path, trail"
warm,"따뜻한, 다정한, 더운","enthusiastic, heated, hot"
wary,"경계하는, 주의 깊은","careful, cautious, prudent"
wayward,"제멋대로 하는, 고집 센, 변덕스러운","errant, unpredictable, willful"
weary (adj),"피로한, 지쳐있는, 따분한, 실증 나는","drained, exhausted, fatigued, overworked, tired"
weary (v),"지치게 하다, 싫증나게 하다","annoy, tire"
weight,"무게, 중요성, 비중","heaviness, mass, importance, significance"
well-founded,충분한 근거가 있는,"reasonable, sound, substantiated"
whim,"변덕, 일시적 생각","caprice, fancy, impulse"
whimsical,"마음이 잘 변하는, 별난","fanciful, funny, playful"
widespread,"널리 보급된, 만연된","broad, common, extensive, general, large, popular, sweeping, wide-ranging"
willful,"계획적인, 외고집의","capricious, obstinate, stubborn"
wince,"주춤하다, 움츠리다","cringe, recoil, shrink"
zany,어릿광대 같은,"comical, funny"
zealous,"열심인, 열광적인","ardent, enthusiastic"
